Admin2,Province_State,Lat,Long_,Deaths,Combined_Key
Benton,Minnesota,45.69805,-93.99514135,0,"Benton, Minnesota, US"
Benton,Mississippi,34.81681,-89.18945516,0,"Benton, Mississippi, US"
Benton,Missouri,38.29503,-93.28756116,0,"Benton, Missouri, US"
Benton,Oregon,44.49167,-123.4316987,1,"Benton, Oregon, US"
Benton,Tennessee,36.0711,-88.06849355,0,"Benton, Tennessee, US"
Benton,Washington,46.23947,-119.5120834,25,"Benton, Washington, US"
Benzie,Michigan,44.63899,-86.01608482,0,"Benzie, Michigan, US"
Bergen,New Jersey,40.96011,-74.07164325,390,"Bergen, New Jersey, US"
Berkeley,South Carolina,33.20223,-79.94654523,1,"Berkeley, South Carolina, US"
Berkeley,West Virginia,39.46705,-78.02414609,0,"Berkeley, West Virginia, US"
Berks,Pennsylvania,40.41571,-75.92457766,12,"Berks, Pennsylvania, US"
Berkshire,Massachusetts,42.37428,-73.20524838,18,"Berkshire, Massachusetts, US"
Bernalillo,New Mexico,35.05164,-106.6703554,12,"Bernalillo, New Mexico, US"
Berrien,Georgia,31.2759,-83.2252992,0,"Berrien, Georgia, US"
Berrien,Michigan,41.95447,-86.4131308,2,"Berrien, Michigan, US"
Bertie,North Carolina,36.06885,-76.96545943,1,"Bertie, North Carolina, US"
Bethel,Alaska,60.9098,-159.8561831,0,"Bethel, Alaska, US"
Bexar,Texas,29.44929,-98.52019748,22,"Bexar, Texas, US"
Bibb,Alabama,32.99642,-87.1251146,0,"Bibb, Alabama, US"
Bibb,Georgia,32.80904,-83.70489165,1,"Bibb, Georgia, US"
Bienville,Louisiana,32.3457,-93.05398492,1,"Bienville, Louisiana, US"
Big Horn,Montana,45.42336,-107.492347,0,"Big Horn, Montana, US"
Big Stone,Minnesota,45.42713,-96.41403739,0,"Big Stone, Minnesota, US"
Bingham,Idaho,43.21673,-112.3978437,0,"Bingham, Idaho, US"
Black Hawk,Iowa,42.47046,-92.30524729,0,"Black Hawk, Iowa, US"
Blackford,Indiana,40.47388,-85.32499702,0,"Blackford, Indiana, US"
Bladen,North Carolina,34.61296,-78.56180059,0,"Bladen, North Carolina, US"
Blaine,Idaho,43.40858,-113.9752658,5,"Blaine, Idaho, US"
Blair,Pennsylvania,40.47961,-78.34917412,0,"Blair, Pennsylvania, US"
Blanco,Texas,30.26641,-98.3999852,0,"Blanco, Texas, US"
Bland,Virginia,37.13128,-81.13599391,0,"Bland, Virginia, US"
Bleckley,Georgia,32.43829,-83.33035166,0,"Bleckley, Georgia, US"
Bledsoe,Tennessee,35.59943,-85.20611967,0,"Bledsoe, Tennessee, US"
Blount,Alabama,33.98211,-86.56790593,0,"Blount, Alabama, US"
Blount,Tennessee,35.68938,-83.92847788,3,"Blount, Tennessee, US"
Blue Earth,Minnesota,44.03554,-94.06699781,0,"Blue Earth, Minnesota, US"
Bolivar,Mississippi,33.79697,-90.87372121,3,"Bolivar, Mississippi, US"
Bollinger,Missouri,37.32449,-90.02725304,0,"Bollinger, Missouri, US"
Bon Homme,South Dakota,42.98914,-97.88592746,0,"Bon Homme, South Dakota, US"
Bond,Illinois,38.8883,-89.43534887,0,"Bond, Illinois, US"
Bonner,Idaho,48.29996,-116.6017932,0,"Bonner, Idaho, US"
Bonneville,Idaho,43.38713,-111.6161537,0,"Bonneville, Idaho, US"
Boone,Arkansas,36.30845,-93.09374925,0,"Boone, Arkansas, US"
Boone,Illinois,42.32359,-88.82345779,1,"Boone, Illinois, US"
Boone,Indiana,40.05093,-86.46841646,2,"Boone, Indiana, US"
Boone,Iowa,42.03657,-93.9313999,0,"Boone, Iowa, US"
Boone,Kentucky,38.97065,-84.72615357,1,"Boone, Kentucky, US"
Boone,Missouri,38.99186,-92.30723575,1,"Boone, Missouri, US"
Boone,West Virginia,38.01974,-81.69888019,0,"Boone, West Virginia, US"
Bossier,Louisiana,32.67932,-93.60460152,7,"Bossier, Louisiana, US"
Botetourt,Virginia,37.55532,-79.80982182,0,"Botetourt, Virginia, US"
Boulder,Colorado,40.09314,-105.3546767,3,"Boulder, Colorado, US"
Bourbon,Kansas,37.85509,-94.84865997,1,"Bourbon, Kansas, US"
Bourbon,Kentucky,38.20546,-84.21827874,1,"Bourbon, Kentucky, US"
Bowie,Texas,33.44627,-94.41834132,1,"Bowie, Texas, US"
Bowman,North Dakota,46.11285,-103.5203343,0,"Bowman, North Dakota, US"
Box Elder,Utah,41.52107,-113.0832816,0,"Box Elder, Utah, US"
Boyd,Kentucky,38.36177,-82.68652187,2,"Boyd, Kentucky, US"
Boyle,Kentucky,37.62681,-84.8633779,0,"Boyle, Kentucky, US"
Bracken,Kentucky,38.69159,-84.08532444,0,"Bracken, Kentucky, US"
Bradford,Florida,29.9508,-82.16611613,0,"Bradford, Florida, US"
Bradford,Pennsylvania,41.78869,-76.51570822,0,"Bradford, Pennsylvania, US"
Bradley,Arkansas,33.46756,-92.15980837,0,"Bradley, Arkansas, US"
Bradley,Tennessee,35.15739,-84.857186,0,"Bradley, Tennessee, US"
Branch,Michigan,41.91601,-85.05929476,2,"Branch, Michigan, US"
Brantley,Georgia,31.19577,-81.97743999,1,"Brantley, Georgia, US"
Braxton,West Virginia,38.70036,-80.72011184,0,"Braxton, West Virginia, US"
Brazoria,Texas,29.18757,-95.44563172,2,"Brazoria, Texas, US"
Brazos,Texas,30.66364,-96.30205577,9,"Brazos, Texas, US"
Breathitt,Kentucky,37.52333,-83.31959161,0,"Breathitt, Kentucky, US"
Breckinridge,Kentucky,37.77377,-86.42885017,0,"Breckinridge, Kentucky, US"
Bremer,Iowa,42.77461,-92.31795937,0,"Bremer, Iowa, US"
Brevard,Florida,28.2941,-80.73091022,2,"Brevard, Florida, US"
Bristol,Massachusetts,41.79228,-71.10872211,23,"Bristol, Massachusetts, US"
Bristol,Rhode Island,41.71018,-71.28652315,0,"Bristol, Rhode Island, US"
Bristol,Virginia,36.6163,-82.16359122,0,"Bristol, Virginia, US"
Broadwater,Montana,46.33278,-111.4955813,0,"Broadwater, Montana, US"
Brooke,West Virginia,40.27367,-80.57915332,0,"Brooke, West Virginia, US"
Brookings,South Dakota,44.36974,-96.79079945,0,"Brookings, South Dakota, US"
Brooks,Georgia,30.83923,-83.58303423,1,"Brooks, Georgia, US"
Broome,New York,42.15903,-75.81326086,6,"Broome, New York, US"
Broomfield,Colorado,39.95999,-105.0566324,2,"Broomfield, Colorado, US"
Broward,Florida,26.15185,-80.48725556,72,"Broward, Florida, US"
Brown,Indiana,39.19606,-86.22868909,1,"Brown, Indiana, US"
Brown,Minnesota,44.24206,-94.72562874,1,"Brown, Minnesota, US"
Brown,Ohio,38.93417,-83.86788395,1,"Brown, Ohio, US"
Brown,South Dakota,45.58994,-98.35165355,0,"Brown, South Dakota, US"
Brown,Texas,31.7743,-98.99907113,0,"Brown, Texas, US"
Brown,Wisconsin,44.45266,-88.00411844,1,"Brown, Wisconsin, US"
Brunswick,North Carolina,34.07057,-78.22814204,1,"Brunswick, North Carolina, US"
Brunswick,Virginia,36.76367,-77.8593436,0,"Brunswick, Virginia, US"
Bryan,Georgia,32.00979,-81.44002948,2,"Bryan, Georgia, US"
Bryan,Oklahoma,33.96472,-96.25903472,0,"Bryan, Oklahoma, US"
Buchanan,Iowa,42.47092,-91.83510825,0,"Buchanan, Iowa, US"
Buchanan,Missouri,39.65816,-94.80138942,1,"Buchanan, Missouri, US"
Buchanan,Virginia,37.26818,-82.03749726,0,"Buchanan, Virginia, US"
Buckingham,Virginia,37.57242,-78.52518834,0,"Buckingham, Virginia, US"
Bucks,Pennsylvania,40.33682,-75.10836643,28,"Bucks, Pennsylvania, US"
Buena Vista,Iowa,42.73546,-95.15100162,0,"Buena Vista, Iowa, US"
Buena Vista,Virginia,37.73485,-79.35296097,0,"Buena Vista,Virginia,US"
Buffalo,Nebraska,40.85487,-99.07500296,1,"Buffalo, Nebraska, US"
Buffalo,Wisconsin,44.37835,-91.75332578,1,"Buffalo, Wisconsin, US"
Bullitt,Kentucky,37.97163,-85.68955617,2,"Bullitt, Kentucky, US"
Bulloch,Georgia,32.39577,-81.74811421,0,"Bulloch, Georgia, US"
Bullock,Alabama,32.10031,-85.71265535,0,"Bullock, Alabama, US"
Buncombe,North Carolina,35.61113,-82.53305,2,"Buncombe, North Carolina, US"
Bureau,Illinois,41.40385,-89.5283051,0,"Bureau, Illinois, US"
Burke,Georgia,33.05918,-81.99928721,0,"Burke, Georgia, US"
Burke,North Carolina,35.7499,-81.70755735,2,"Burke, North Carolina, US"
Burke,North Dakota,48.79094,-102.5182117,0,"Burke, North Dakota, US"
Burleigh,North Dakota,46.97847,-100.4645214,0,"Burleigh, North Dakota, US"
Burleson,Texas,30.49274,-96.62158484,0,"Burleson, Texas, US"
Burlington,New Jersey,39.87681,-74.66927768,22,"Burlington, New Jersey, US"
Burnet,Texas,30.78801,-98.181887,0,"Burnet, Texas, US"
Burt,Nebraska,41.85057,-96.32605633,0,"Burt, Nebraska, US"
Butler,Alabama,31.753,-86.68057478,0,"Butler, Alabama, US"
Butler,Iowa,42.73173,-92.79015971,0,"Butler, Iowa, US"
Butler,Kansas,37.78134,-96.83878537,0,"Butler, Kansas, US"
Butler,Kentucky,37.20946,-86.68748787,0,"Butler, Kentucky, US"
Butler,Missouri,36.71462,-90.40421163,0,"Butler, Missouri, US"
Butler,Ohio,39.44013,-84.57388716,2,"Butler, Ohio, US"
Butler,Pennsylvania,40.91153,-79.91351055,3,"Butler, Pennsylvania, US"
Butte,California,39.66728,-121.6005252,0,"Butte, California, US"
Butte,South Dakota,44.90609,-103.5079318,0,"Butte, South Dakota, US"
Butts,Georgia,33.28309,-83.9543504,0,"Butts, Georgia, US"
Cabarrus,North Carolina,35.38778,-80.55267168,1,"Cabarrus, North Carolina, US"
Cabell,West Virginia,38.42424,-82.23855912,0,"Cabell, West Virginia, US"
Cache,Utah,41.72331,-111.7443667,0,"Cache, Utah, US"
Caddo,Louisiana,32.57992,-93.88375652,39,"Caddo, Louisiana, US"
Caddo,Oklahoma,35.17365,-98.37534464,0,"Caddo, Oklahoma, US"
Calaveras,California,38.20537,-120.552913,0,"Calaveras, California, US"
Calcasieu,Louisiana,30.22931,-93.35400434,5,"Calcasieu, Louisiana, US"
Caldwell,Kentucky,37.14749,-87.86948214,0,"Caldwell, Kentucky, US"
Caldwell,Louisiana,32.09025,-92.11752148,0,"Caldwell, Louisiana, US"
Caldwell,Missouri,39.65621,-93.98308093,0,"Caldwell, Missouri, US"
Caldwell,North Carolina,35.95205,-81.54799522,0,"Caldwell, North Carolina, US"
Caldwell,Texas,29.83669,-97.61814775,0,"Caldwell, Texas, US"
Caledonia,Vermont,44.46549,-72.10314651,0,"Caledonia, Vermont, US"
Calhoun,Alabama,33.77484,-85.82630386,0,"Calhoun, Alabama, US"
Calhoun,Florida,30.40667,-85.19394153,0,"Calhoun, Florida, US"
Calhoun,Georgia,31.5317,-84.62725131,2,"Calhoun, Georgia, US"
Calhoun,Illinois,39.1684,-90.66330078,0,"Calhoun, Illinois, US"
Calhoun,Michigan,42.24634,-85.00493569,1,"Calhoun, Michigan, US"
Calhoun,Mississippi,33.93683,-89.33686647,0,"Calhoun, Mississippi, US"
Calhoun,South Carolina,33.66927,-80.77722168,1,"Calhoun, South Carolina, US"
Calhoun,Texas,28.47048,-96.61633945,0,"Calhoun, Texas, US"
Callahan,Texas,32.29761,-99.37326312,0,"Callahan, Texas, US"
Callaway,Missouri,38.83675,-91.92186505,1,"Callaway, Missouri, US"
Calloway,Kentucky,36.62093,-88.2731593,1,"Calloway, Kentucky, US"
Calumet,Wisconsin,44.08163,-88.21780273,0,"Calumet, Wisconsin, US"
Calvert,Maryland,38.53962,-76.56820632,1,"Calvert, Maryland, US"
Camas,Idaho,43.46666,-114.8065892,0,"Camas, Idaho, US"
Cambria,Pennsylvania,40.49527,-78.71377428,1,"Cambria, Pennsylvania, US"
