FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
42007,Beaver,Pennsylvania,US,4/10/2020 22:54,40.68255,-80.34921611,139,13,0,0,"Beaver, Pennsylvania, US"
30001,Beaverhead,Montana,US,4/10/2020 22:54,45.13434,-112.8984694,1,0,0,0,"Beaverhead, Montana, US"
40009,Beckham,Oklahoma,US,4/10/2020 22:54,35.26862,-99.68128023,1,0,0,0,"Beckham, Oklahoma, US"
42009,Bedford,Pennsylvania,US,4/10/2020 22:54,40.00522,-78.48998442,3,0,0,0,"Bedford, Pennsylvania, US"
47003,Bedford,Tennessee,US,4/10/2020 22:54,35.51124,-86.45549096,15,1,0,0,"Bedford, Tennessee, US"
51019,Bedford,Virginia,US,4/10/2020 22:54,37.30800,-79.5281964,15,0,0,0,"Bedford, Virginia, US"
48025,Bee,Texas,US,4/10/2020 22:54,28.41762,-97.74215593,2,0,0,0,"Bee, Texas, US"
33001,Belknap,New Hampshire,US,4/10/2020 22:54,43.51637,-71.41684235,21,0,0,0,"Belknap, New Hampshire, US"
48027,Bell,Texas,US,4/10/2020 22:54,31.03736,-97.4785025,84,3,0,0,"Bell, Texas, US"
39013,Belmont,Ohio,US,4/10/2020 22:54,40.01626,-80.9924051,42,1,0,0,"Belmont, Ohio, US"
27007,Beltrami,Minnesota,US,4/10/2020 22:54,47.97374,-94.93732139,5,0,0,0,"Beltrami, Minnesota, US"
13017,Ben Hill,Georgia,US,4/10/2020 22:54,31.76096,-83.22145359,8,0,0,0,"Ben Hill, Georgia, US"
50003,Bennington,Vermont,US,4/10/2020 22:54,43.03520,-73.09048868,31,1,0,0,"Bennington, Vermont, US"
5007,Benton,Arkansas,US,4/10/2020 22:54,36.33645,-94.25680817,47,0,0,0,"Benton, Arkansas, US"
18007,Benton,Indiana,US,4/10/2020 22:54,40.60627,-87.31093999,0,0,0,0,"Benton, Indiana, US"
19011,Benton,Iowa,US,4/10/2020 22:54,42.08012,-92.06463573,15,1,0,0,"Benton, Iowa, US"
27009,Benton,Minnesota,US,4/10/2020 22:54,45.69805,-93.99514135,1,0,0,0,"Benton, Minnesota, US"
28009,Benton,Mississippi,US,4/10/2020 22:54,34.81681,-89.18945516,5,0,0,0,"Benton, Mississippi, US"
29015,Benton,Missouri,US,4/10/2020 22:54,38.29503,-93.28756116,3,0,0,0,"Benton, Missouri, US"
41003,Benton,Oregon,US,4/10/2020 22:54,44.49167,-123.4316987,21,1,0,0,"Benton, Oregon, US"
47005,Benton,Tennessee,US,4/10/2020 22:54,36.07110,-88.06849355,4,0,0,0,"Benton, Tennessee, US"
53005,Benton,Washington,US,4/10/2020 22:54,46.23947,-119.5120834,233,25,0,0,"Benton, Washington, US"
26019,Benzie,Michigan,US,4/10/2020 22:54,44.63899,-86.01608482,0,0,0,0,"Benzie, Michigan, US"
34003,Bergen,New Jersey,US,4/10/2020 22:54,40.96011,-74.07164325,8928,390,0,0,"Bergen, New Jersey, US"
45015,Berkeley,South Carolina,US,4/10/2020 22:54,33.20223,-79.94654523,67,1,0,0,"Berkeley, South Carolina, US"
54003,Berkeley,West Virginia,US,4/10/2020 22:54,39.46705,-78.02414609,89,0,0,0,"Berkeley, West Virginia, US"
42011,Berks,Pennsylvania,US,4/10/2020 22:54,40.41571,-75.92457766,720,12,0,0,"Berks, Pennsylvania, US"
25003,Berkshire,Massachusetts,US,4/10/2020 22:54,42.37428,-73.20524838,329,18,0,0,"Berkshire, Massachusetts, US"
35001,Bernalillo,New Mexico,US,4/10/2020 22:54,35.05164,-106.6703554,407,12,0,0,"Bernalillo, New Mexico, US"
13019,Berrien,Georgia,US,4/10/2020 22:54,31.27590,-83.2252992,6,0,0,0,"Berrien, Georgia, US"
26021,Berrien,Michigan,US,4/10/2020 22:54,41.95447,-86.4131308,88,2,0,0,"Berrien, Michigan, US"
37015,Bertie,North Carolina,US,4/10/2020 22:54,36.06885,-76.96545943,12,1,0,0,"Bertie, North Carolina, US"
2050,Bethel,Alaska,US,4/10/2020 22:54,60.90980,-159.8561831,1,0,0,0,"Bethel, Alaska, US"
48029,Bexar,Texas,US,4/10/2020 22:54,29.44929,-98.52019748,615,22,0,0,"Bexar, Texas, US"
1007,Bibb,Alabama,US,4/10/2020 22:54,32.99642,-87.1251146,11,0,0,0,"Bibb, Alabama, US"
13021,Bibb,Georgia,US,4/10/2020 22:54,32.80904,-83.70489165,56,1,0,0,"Bibb, Georgia, US"
22013,Bienville,Louisiana,US,4/10/2020 22:54,32.34570,-93.05398492,27,1,0,0,"Bienville, Louisiana, US"
30003,Big Horn,Montana,US,4/10/2020 22:54,45.42336,-107.492347,1,0,0,0,"Big Horn, Montana, US"
27011,Big Stone,Minnesota,US,4/10/2020 22:54,45.42713,-96.41403739,1,0,0,0,"Big Stone, Minnesota, US"
16011,Bingham,Idaho,US,4/10/2020 22:54,43.21673,-112.3978437,2,0,0,0,"Bingham, Idaho, US"
19013,Black Hawk,Iowa,US,4/10/2020 22:54,42.47046,-92.30524729,35,0,0,0,"Black Hawk, Iowa, US"
18009,Blackford,Indiana,US,4/10/2020 22:54,40.47388,-85.32499702,4,0,0,0,"Blackford, Indiana, US"
37017,Bladen,North Carolina,US,4/10/2020 22:54,34.61296,-78.56180059,1,0,0,0,"Bladen, North Carolina, US"
16013,Blaine,Idaho,US,4/10/2020 22:54,43.40858,-113.9752658,446,5,0,0,"Blaine, Idaho, US"
42013,Blair,Pennsylvania,US,4/10/2020 22:54,40.47961,-78.34917412,9,0,0,0,"Blair, Pennsylvania, US"
48031,Blanco,Texas,US,4/10/2020 22:54,30.26641,-98.3999852,4,0,0,0,"Blanco, Texas, US"
51021,Bland,Virginia,US,4/10/2020 22:54,37.13128,-81.13599391,0,0,0,0,"Bland, Virginia, US"
13023,Bleckley,Georgia,US,4/10/2020 22:54,32.43829,-83.33035166,1,0,0,0,"Bleckley, Georgia, US"
47007,Bledsoe,Tennessee,US,4/10/2020 22:54,35.59943,-85.20611967,3,0,0,0,"Bledsoe, Tennessee, US"
1009,Blount,Alabama,US,4/10/2020 22:54,33.98211,-86.56790593,12,0,0,0,"Blount, Alabama, US"
47009,Blount,Tennessee,US,4/10/2020 22:54,35.68938,-83.92847788,45,3,0,0,"Blount, Tennessee, US"
27013,Blue Earth,Minnesota,US,4/10/2020 22:54,44.03554,-94.06699781,22,0,0,0,"Blue Earth, Minnesota, US"
28011,Bolivar,Mississippi,US,4/10/2020 22:54,33.79697,-90.87372121,61,3,0,0,"Bolivar, Mississippi, US"
29017,Bollinger,Missouri,US,4/10/2020 22:54,37.32449,-90.02725304,3,0,0,0,"Bollinger, Missouri, US"
46009,Bon Homme,South Dakota,US,4/10/2020 22:54,42.98914,-97.88592746,3,0,0,0,"Bon Homme, South Dakota, US"
17005,Bond,Illinois,US,4/10/2020 22:54,38.88830,-89.43534887,4,0,0,0,"Bond, Illinois, US"
16017,Bonner,Idaho,US,4/10/2020 22:54,48.29996,-116.6017932,3,0,0,0,"Bonner, Idaho, US"
16019,Bonneville,Idaho,US,4/10/2020 22:54,43.38713,-111.6161537,11,0,0,0,"Bonneville, Idaho, US"
5009,Boone,Arkansas,US,4/10/2020 22:54,36.30845,-93.09374925,3,0,0,0,"Boone, Arkansas, US"
17007,Boone,Illinois,US,4/10/2020 22:54,42.32359,-88.82345779,7,1,0,0,"Boone, Illinois, US"
18011,Boone,Indiana,US,4/10/2020 22:54,40.05093,-86.46841646,90,2,0,0,"Boone, Indiana, US"
19015,Boone,Iowa,US,4/10/2020 22:54,42.03657,-93.9313999,4,0,0,0,"Boone, Iowa, US"
21015,Boone,Kentucky,US,4/10/2020 22:54,38.97065,-84.72615357,23,1,0,0,"Boone, Kentucky, US"
29019,Boone,Missouri,US,4/10/2020 22:54,38.99186,-92.30723575,78,1,0,0,"Boone, Missouri, US"
54005,Boone,West Virginia,US,4/10/2020 22:54,38.01974,-81.69888019,1,0,0,0,"Boone, West Virginia, US"
22015,Bossier,Louisiana,US,4/10/2020 22:54,32.67932,-93.60460152,175,7,0,0,"Bossier, Louisiana, US"
51023,Botetourt,Virginia,US,4/10/2020 22:54,37.55532,-79.80982182,21,0,0,0,"Botetourt, Virginia, US"
8013,Boulder,Colorado,US,4/10/2020 22:54,40.09314,-105.3546767,217,3,0,0,"Boulder, Colorado, US"
20011,Bourbon,Kansas,US,4/10/2020 22:54,37.85509,-94.84865997,7,1,0,0,"Bourbon, Kansas, US"
21017,Bourbon,Kentucky,US,4/10/2020 22:54,38.20546,-84.21827874,4,1,0,0,"Bourbon, Kentucky, US"
48037,Bowie,Texas,US,4/10/2020 22:54,33.44627,-94.41834132,29,1,0,0,"Bowie, Texas, US"
38011,Bowman,North Dakota,US,4/10/2020 22:54,46.11285,-103.5203343,1,0,0,0,"Bowman, North Dakota, US"
49003,Box Elder,Utah,US,4/10/2020 22:54,41.52107,-113.0832816,12,0,0,0,"Box Elder, Utah, US"
21019,Boyd,Kentucky,US,4/10/2020 22:54,38.36177,-82.68652187,17,2,0,0,"Boyd, Kentucky, US"
21021,Boyle,Kentucky,US,4/10/2020 22:54,37.62681,-84.8633779,9,0,0,0,"Boyle, Kentucky, US"
21023,Bracken,Kentucky,US,4/10/2020 22:54,38.69159,-84.08532444,1,0,0,0,"Bracken, Kentucky, US"
12007,Bradford,Florida,US,4/10/2020 22:54,29.95080,-82.16611613,22,0,0,0,"Bradford, Florida, US"
42015,Bradford,Pennsylvania,US,4/10/2020 22:54,41.78869,-76.51570822,16,0,0,0,"Bradford, Pennsylvania, US"
